Company Name,Company INN,Supplier 1 Name,Supplier 1 INN,Supplier 1 Contract Value,Supplier 2 Name,Supplier 2 INN,Supplier 2 Contract Value,Supplier 3 Name,Supplier 3 INN,Supplier 3 Contract Value
Ministry of Defence of the Russian Federation,7704252261,,,,,,,,,
Almaz-Antey,7731084175,,,,,,,,,
JSC Kizlyar Electromechanical Plant,547003781,,,,,,,,,
Vnesheconombank,7750004150,,,,,,,,,
Russian Federal Nuclear Center - Zababakhin All-Russia Research Institute of Technical Physics,7722026032,,,,,,,,,
Chelyabinsk Tractor Plant,7452046148,,,,,,,,,
Joint Stock Company Concern Granit-Electron,7842335610,,,,,,,,,
Kaluga-based Instrument-Making Plant Typhoon JSC,4026005699,,,,,,,,,
"PJSC ""Motovilikhinskiye Zavody""",5906009273,,,,,,,,,
JOINT STOCK COMPANY DUBNENSKY MACHINE BUILDING PLANT NAMED AFTER NP FEDOROV,5010030050,,,,,,,,,
