id,caption,schema,taxNumber,innCode,russian_alias_1,russian_alias_2,russian_alias_3,russian_alias_4,russian_alias_5,russian_alias_6,russian_alias_7,russian_alias_8,russian_alias_9,russian_alias_10,russian_alias_11,russian_alias_12,russian_alias_13,russian_alias_14,russian_alias_15,russian_alias_16,russian_alias_17,russian_alias_18,russian_alias_19,russian_alias_20,russian_alias_21,russian_alias_22,russian_alias_23,russian_alias_24
NK-jCBHogZtpVVPHwmQRVADPp,Ministry of Defence of the Russian Federation,Company,,7704252261,министерство обороны российской федарации,минобороны россии,министерство обороны рф,министерство обороны,министерство обороны россйской федерации,министерство обороны россиийской федерации,правительство российской федерации,мнистерство обороны россии,министерсто обороны российской федерации,министерство обороны российской федераций,министерсво обороны российской федерации,государственное предприятие министерство обороны рф,орган государственной власти,министерства обороны российской федерации,министерство обороныроссийской федерации,в лице министерства обороны российской федерации,министерство обороны российской федерации or минобороны россии,министерство обороны российской федерации,министерство обороны россии,министерство оброны российской федерации,минестерство обороны российской федерации,вооружённые силы российской федерации,"российская федерация, министрерство обороны российской федерации",министерство обороны российский федерации
NK-cS4PYWrNuW9AF7XNCpL9oS,Almaz-Antey,Company,7731084175,7731084175,"концерн вко ""алмаз-антей",концерн вко 'алмаз — антей',акционерно дружество „концерн за въздушно-космическа отбрана „алмаз – антей“,акционерное общество ‘концерн воздушно-космической обороны “алмаз — антей”’,акционерное общество концерн воздушно-космической обороны алмаз-антей,ао концерн вко алмаз-антей,"открытое акционерное общество ""концерн пво ""алмаз-антей""",концерн вко ‘алмаз — антей’,концерн вко алмаз-антей,"акционерное общество ""концерн воздушно-космической обороны ""алмаз-антей""",акционерное общество «концерн воздушно-космической обороны «алмаз - антей»,открытое акционерное общество «концерн пво «алмаз-антей»,концерн вко “алмаз — антей”,"акционерное общество ""концерн вко ""алмаз-антей""","акционерное общество ""концерн воздушно-космической обороны ‘алмаз-антей""","акционерное общество ""концерн воздушно-космической обороны ""алмаз - антей""",,,,,,,,
NK-Lo792uCtLEdzF69y3Bs87v,JSC Kizlyar Electromechanical Plant,Company,547003781,547003781,"открытое акционерное общество концерн ""кизлярский электромеханический завод""",ао «концерн кэмз»,ао “концeрн кизлярский электромеханический завод”,"открытое акционерное общество "" концерн кизлярский электромеханический завод""","открытое акционерное общество концерн ""кэмз""","ао ""концeрн кизлярский электромеханический завод""",ао “концерн кэмз”,"открытое акционерное общество "" кизлярский электромеханический завод ""","открытое акционерное общество ""кизлярский электромеханический завод""",открытое акционерное общество концерн кизлярский электромеханический завод,ао «концeрн кизлярский электромеханический завод»,"открытое акционерное общество ""концерн кизлярский электромеханический завод""","ао ""концерн кэмз""",,,,,,,,,,,
NK-b3fcbf4CHMfChZi52uVcjS,Vnesheconombank,Company,7750004150,7750004150,вэб.рф,"государственная корпорация ""банк развития и внешэкономической деятельности ""внешэкономбанк)""",государственная корпорация развития вэб.рф,вэб; vnesheconombank,"государственная корпорация развития ""вэб.рф""","государственная корпорация ""банк развития и внешнеэкономической деятельности (внешэкономбанк)""","государственная корпорация ""банк развития и внешне экономической деятельности (внешэкономбанк)""",государственная корпорация «банк развития и внешнеэкономической деятельности «внешэкономбанк»,"государственная корпорация ""банк развития и внешне экономической деятельности ""внешэкономбанк)""","государственная корпорация ""банк развития и внешнеэкономической деятельности ""внешэкономбанк""",государственная корпорация «банк развития и внешнеэкономической деятельности»,,,,,,,,,,,,,
NK-avobHk9W2CmG5zMDQFw2wD,Russian Federal Nuclear Center - Zababakhin All-Russia Research Institute of Technical Physics,Company,7423000572,7722026032,рфяц – всероссийский научно-исследовательский институт технической физики им. забабахина,федеральное государственное унитарное предприятие “рфяц – всероссийский научно-исследовательский институт технической физики имени академика е.и. забабахина”,всероссийский научно-исследовательский институт технической физики,"федеральное государственное унитарное предприятие ""российский федеральный ядерный центр - всероссийский научно-исследовательский институт технической физики имени академика е.и.забабахина""","федеральное государственное унитарное предприятие ""российский федеральный ядерный центр - всероссийский научно-исследовательский институт технической физики имени академика е.и. забабахина""","федеральное государственное унитарное предприятие ""российский федеральный ядерный центр – всероссийский научно-исследовательский институт технической физики имени академика е.и.забабахина""",федеральное государственное унитарное предприятие “рфяц — всероссийский научно- исследовательский институт технической физики имени академика е.и. забабахина”,федеральное государственное унитарное предприятие «российский федеральный ядерный центр – всероссийский научно-исследовательский институт технической физики имени академика е.и. забабахина (фгуп «рфяц – вниитф им. академ. е.и. забабахина»),федеральное государственное унитарное предприятие российский федеральный ядерный центр - всероссийский научно-исследовательский институт технической физики имени академика е.и. забабахина,федеральное государственное унитарное предприятие “рфяц – всероссийский научно- исследовательский институт технической физики имени академика е.и. забабахина”,рфяц — всероссийский научно-исследовательский институт технической физики им. забабахина,,,,,,,,,,,,,
NK-NUT7GH28cCa4fRRX8ttuya,Chelyabinsk Tractor Plant,Company,7452027843,7452046148,челябинский тракторный завод,"общество с ограниченной ответственностью ""челябинский тракторный завод -уралтрак""",общество с ограниченной ответственностью «челябинский тракторный завод - уралтрак»,"общество с ограниченной ответственностью ""челябинский тракторный завод-уралтрак""","челябинский тракторный завод - ""уралтрак""","общество с ограниченной ответственностью челябинский тракторный завод ""уралтрак""","общество с ограниченной ответственностью ""челябинский тракторный завод- уралтрак""","общество с ограниченной ответственностью ""челябинский тракторный завод - уралтрак""",челябинский тракторный завод -уралтрак,"общество с ограниченной ответственностью "" челябинский тракторный завод- уралтрак""",,,,,,,,,,,,,,
NK-4kjNvtuZ6xAQrJjbzpnV8M,Joint Stock Company Concern Granit-Electron,Company,7842335610,7842335610,ао “концерн ‘гранит-электрон’”,"акционерное общество ""концерн""гранит-электрон""",ао концерн «гранит-электрон»,ао “концерн ‘гранит- электрон’”,"открытое акционерное общество ""концерн ""гранит-электрон""",акционерное общество “концерн ‘гранит-электрон’”,гранит-электрон,концерн «гранит-электрон»,акционерное общество “концерн ‘гранит- электрон’”,"акционерное общество ""концерн ""гранит-электрон""",,,,,,,,,,,,,,
NK-UVxknVrJ49M8eU62FcYBH3,Kaluga-based Instrument-Making Plant Typhoon JSC,Company,4026005699,4026005699,"открытое акционерное общество ""научно-производственное предприятие калужский приборостроительный завод ""тайфун""","акционерное общество ""научнопроизводственное предприятие ""калужский приборостроительный завод ""тайфун""",ао «тайфун»,"акционерное общество ""научно-производственное предприятие ""калужский приборостроительный завод ""тайфун""",ао “тайфун”,акционерное общество научно-производственное предприятие ‘калужский приборостроительны й завод “тайфун”’,"открытое акционерное общество ""научно-производственное предприятие ""калужский приборостроительный завод ""тайфун""",акционерное общество «научно-производственное предприятие «калужский приборостроительный завод «тайфун»,"акционерное общество научно-производственное предприятие 'калужский приборостроительный завод ""тайфун""'",,,,,,,,,,,,,,,
NK-bJThAbso99PAbqDzL62S5J,"PJSC ""Motovilikhinskiye Zavody""",Company,,5906009273,"публичное акционерного общество специального машиностроения и металлургии “мотовилихинские заводы"" пао “мотовилихинские заводы”","открытое акционерное общество ""мотовилихинские заводы""","открытое акционерное общество специального машиностроения и металлургии ""мотовилихинские заводы""",публичное акционерное общество специального машиностроения и металлургии «мотовилихинские заводы»,"пао “мотовилихинские заводы""","публичное акционерное общество специального машиностроения и металлургии ""мотовилихинские заводы""","открытое акционерное общество ""мотовилихинское заводы""",публичное акционерного общество специального машиностроения и металлургии ‘мотовилихинские заводы',пао ‘мотовилихинские заводы’,публичное акционерного общество специального машиностроения и металлургии “мотовилихинские заводы”,,,,,,,,,,,,,,
NK-YQnukRPtyGQwA8pCr7kPWD,JOINT STOCK COMPANY DUBNENSKY MACHINE BUILDING PLANT NAMED AFTER NP FEDOROV,Company,5010030050,5010030050,"акционерное общество ""дубненский машиностроительный завод"" имени н.п.федорова""","открытое акционерное общество ""дубненский машиностроительный завод"" имени н.п.федорова""","открытое акционерное общество ""дубненский машиностроительный завод им. н.п. федорова""","акционерное общество ""дубненский машиностроительный завод"" имени н.п. фёдорова""","акционерное общество ""дубненский машиностроительный завод"" имени н.п.фёдорова""",дубненский машиностроительный завод,"акционерное общество ""дубненский машиностроительный завод"" имени н.п. федорова""",акционерное общество “дубненский машиностроительный завод” имени н.п.фёдорова,,,,,,,,,,,,,,,,
